GENERAL ELECTIONS TO TAMIL NADU LEGISLATIVE ASSEMBLY 2021																	
No. & Name of the Assembly Constituency: 150 - JAYANKONDAM AC																	
Total No. of Electors in Assembly Constituency: 266268																	
SL. NO.	Polling Station No.	KANNAN KA SO KA	NEELAMEGAM K	SIVA J K	SORNALATHA @	NATARAJAN A	BALU K	MAHALINGAM NEELA	KESAVARAJAN V K	SATHISKUMAR R	SAMUVEL MARTIN A	SUDARVIZHI K	SEDHURAMAN R	RAJKUMAR S	NONE OF THE ABOVE	TOTAL TURNOVER	TOTAL VOTES
PARTY	0	DMK	BSP	AMMK	IJK	IND	PMK	NTK	IND	IND	IND	IND	IND	IND	NOTA	0	0
328	254	418	5	1	4	1	262	22	2	1	0	1	2	2	3	724	724
329	255	218	1	1	1	1	203	17	0	0	0	0	0	0	0	442	442
330	255(A)	251	0	1	2	1	216	6	7	1	2	1	0	3	6	497	497
331	256	241	3	3	4	0	215	32	2	0	1	0	0	2	1	504	504
332	256(A)	243	2	1	1	1	242	14	7	0	4	1	1	3	7	527	527
333	257	304	3	2	19	1	335	18	6	4	1	0	1	3	6	703	703
334	258	288	5	0	4	0	187	13	2	0	0	0	0	1	3	503	503
335	258(A)	298	4	1	2	3	176	7	3	1	0	0	0	2	11	508	508
336	259	281	0	4	11	1	387	21	6	0	0	0	0	3	2	716	716
337	260	306	1	4	5	0	240	17	2	0	1	0	0	1	3	580	580
338	261	466	10	0	5	0	247	51	2	1	2	0	1	4	10	799	799
339	262	359	1	6	6	0	248	11	2	1	0	0	0	2	4	640	640
340	263	366	3	8	5	1	300	50	3	0	0	0	1	4	5	746	746
341	264	298	8	5	5	0	191	25	1	2	1	0	1	2	9	548	548
342	265	263	2	0	14	1	573	21	12	0	0	0	0	9	4	899	899
343	266	331	1	1	8	0	360	27	1	2	1	1	3	2	8	746	746
344	267	161	1	0	7	0	205	12	2	0	0	0	0	0	2	390	390
345	267(A)	161	4	1	5	0	225	9	8	1	0	0	1	5	1	421	421
346	268	556	3	2	2	1	105	48	2	0	0	0	0	2	10	731	731
347	269	369	2	2	6	2	403	15	4	1	0	1	2	1	3	811	811
348	270	254	0	3	9	0	286	16	2	0	0	0	1	0	0	571	571
349	270(A)	226	0	3	8	1	275	8	3	0	2	1	1	1	1	530	530
350	271	84	0	1	33	2	381	15	3	0	1	0	0	0	0	520	520
351	271(A)	75	0	0	29	3	415	4	2	1	0	0	0	2	4	535	535
352	272	188	2	3	8	0	220	13	1	0	0	0	0	1	1	437	437
353	272(A)	210	0	2	1	3	228	6	3	0	0	1	1	4	1	460	460
354	273	447	3	2	40	2	173	35	5	1	3	0	0	6	4	721	721
355	274	231	1	3	12	2	306	55	6	3	0	0	0	2	7	628	628
356	275	416	1	3	1	1	307	33	7	1	1	3	1	6	8	789	789
357	276	265	5	2	0	1	237	11	6	0	0	0	1	2	2	532	532
358	276(A)	244	3	2	0	2	265	6	5	3	0	1	2	3	2	538	538
