GENERAL ELECTIONS TO TAMIL NADU MP 2024,,,,,,,,,FORM 20 - FINAL RESULT SHEET -PART - I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. & Name of the Assembly Constituency: 150 - JAYANKONDAM AC,,,,,,,,,"GENERAL ELECTIONS TO LOK SABHA, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total No. of Electors in Assembly Constituency: 258532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL. NO.,Polling Station No.,KARTHIYAYINI. P,CHANDRAHASAN. M (AIADMK),NEELAMEGAM. K,IND,THIRUMAAVALAVAN.THOL,JANCIRANI. R,IND,IND,IND,IND,IND,IND,IND,IND,NONE OF THE ABOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTY,0,BJP,AIADMK,BSP,OTHERS,VCK,NTK,OTHERS,OTHERS,OTHERS,OTHERS,OTHERS,OTHERS,OTHERS,OTHERS,NOTA,TOTAL TURNOVER,TOTAL VOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,273,38,213,3,1,416,51,0,0,0,0,2,0,2,5,2,733,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,274,116,252,2,2,130,69,2,1,0,2,3,0,1,2,5,587,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,275,114,265,2,1,283,42,0,2,0,1,2,2,0,3,5,722,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,276,110,440,1,1,413,31,0,0,0,5,0,0,1,3,8,1013,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,277,172,425,4,0,203,42,2,0,0,3,2,3,2,2,4,864,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,278,97,343,6,0,481,54,3,1,0,5,2,2,0,1,3,998,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,279,276,382,1,1,148,41,1,0,1,3,1,1,1,1,10,868,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,280,128,499,3,4,298,32,3,0,1,5,0,2,2,3,14,994,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,281,142,374,3,1,376,44,0,1,1,1,1,4,0,3,14,965,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,282,61,152,0,1,163,28,1,1,0,1,1,0,0,2,3,414,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,283,107,276,2,0,184,67,0,0,2,2,1,2,0,0,12,655,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,284,119,311,3,1,167,52,2,0,0,1,1,4,1,2,8,672,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,285,11,156,4,0,651,32,1,0,0,4,6,2,1,2,6,876,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
